"rotulo","desfecho","UF","sigla","u0","u1_negro","gap_log","OR_uf"
"ocp_qualif_PRIVADO","ocp_qualif","15","PA",0.0773236480611516,0.059859483790134,-0.30404973747644,0.737824168025781
"ocp_qualif_PRIVADO","ocp_qualif","16","AP",-0.121955343007231,0.0197754275191598,-0.344133793747415,0.708834084136479
"ocp_qualif_PRIVADO","ocp_qualif","17","TO",-0.038357430976835,-0.106036061713369,-0.469945282979944,0.62503646747998
"ocp_qualif_PRIVADO","ocp_qualif","21","MA",0.187497179179975,0.0885873580693532,-0.275321863197221,0.759327684252932
"ocp_qualif_PRIVADO","ocp_qualif","22","PI",0.338225047198825,0.053739525228658,-0.310169696037916,0.733322503741641
"ocp_qualif_PRIVADO","ocp_qualif","23","CE",0.390192634797817,0.0286729579650665,-0.335236263301508,0.715169098178222
"ocp_qualif_PRIVADO","ocp_qualif","24","RN",0.165826298598485,0.13114978588532,-0.232759435381254,0.792344160570048
"ocp_qualif_PRIVADO","ocp_qualif","25","PB",0.215745572273217,0.104523908114886,-0.259385313151689,0.771525686769616
"ocp_qualif_PRIVADO","ocp_qualif","26","PE",0.285585419974279,0.106167722454569,-0.257741498812005,0.772794974708004
"ocp_qualif_PRIVADO","ocp_qualif","27","AL",0.208048425623382,0.0617917268776692,-0.302117494388905,0.739251201918459
"ocp_qualif_PRIVADO","ocp_qualif","28","SE",0.246590626889234,0.142646068671343,-0.221263152595231,0.801505734221857
"ocp_qualif_PRIVADO","ocp_qualif","29","BA",0.286296010030152,0.0511436650581421,-0.312765556208432,0.731421369668709
"ocp_qualif_PRIVADO","ocp_qualif","31","MG",-0.0121403595190363,-0.0485224860390015,-0.412431707305576,0.662038407533694
"ocp_qualif_PRIVADO","ocp_qualif","32","ES",-0.0191335794121843,-0.020977684278101,-0.384886905544675,0.680527595750431
"ocp_qualif_PRIVADO","ocp_qualif","33","RJ",0.174602269277915,-0.0203503946251785,-0.384259615891753,0.680954617588962
"ocp_qualif_PRIVADO","ocp_qualif","35","SP",-0.0765054023085906,-0.11398440010399,-0.477893621370565,0.620088157601866
"ocp_qualif_PRIVADO","ocp_qualif","41","PR",-0.31480746045381,-0.147806474854879,-0.511715696121453,0.599466194184863
"ocp_qualif_PRIVADO","ocp_qualif","42","SC",-0.423293608290873,-0.335920439442513,-0.699829660709088,0.496669898984673
"ocp_qualif_PRIVADO","ocp_qualif","43","RS",-0.247844730624738,-0.151574847616626,-0.515484068883201,0.597211433165366
"ocp_qualif_PRIVADO","ocp_qualif","50","MS",-0.242144174598415,-0.0417449107481527,-0.405654132014727,0.66654066263822
"ocp_qualif_PRIVADO","ocp_qualif","51","MT",-0.338828938017535,-0.0419726576005981,-0.405881878867173,0.66638887738524
"ocp_qualif_PRIVADO","ocp_qualif","52","GO",-0.192163782649755,-0.0174288655769748,-0.381338086843549,0.682946955203759
"ocp_qualif_PRIVADO","ocp_qualif","53","DF",-0.0876171303400869,0.044099867492249,-0.319809353774326,0.726287487844025
"ocp_qualif_PUBLICO","ocp_qualif","11","RO",-0.0446320065827721,-0.0941400794348695,-0.443069640631879,0.642062491893175
"ocp_qualif_PUBLICO","ocp_qualif","12","AC",0.314781520457565,-0.00816884172264606,-0.357098402919655,0.699703641465624
"ocp_qualif_PUBLICO","ocp_qualif","13","AM",0.218056659472737,0.18205807502626,-0.166871486170749,0.846308366677685
"ocp_qualif_PUBLICO","ocp_qualif","14","RR",-0.0745109185442121,-0.0461282853476592,-0.395057846544668,0.673641070313505
"ocp_qualif_PUBLICO","ocp_qualif","15","PA",0.0592294831808106,0.130497315777158,-0.218432245419851,0.803777937236423
"ocp_qualif_PUBLICO","ocp_qualif","16","AP",0.157010592495781,0.158175758613308,-0.190753802583701,0.826336004899228
"ocp_qualif_PUBLICO","ocp_qualif","17","TO",0.0953607785375401,-0.0692020771062411,-0.41813163830325,0.658275568442165
"ocp_qualif_PUBLICO","ocp_qualif","21","MA",0.253257602229653,0.110369338779728,-0.238560222417282,0.787761245942139
"ocp_qualif_PUBLICO","ocp_qualif","22","PI",0.478822292476728,0.00653107598056574,-0.342398485216443,0.710065197841845
"ocp_qualif_PUBLICO","ocp_qualif","23","CE",0.295092771661258,0.0465894692794523,-0.302340091917557,0.739086664741323
"ocp_qualif_PUBLICO","ocp_qualif","24","RN",0.129136804010701,0.138857162214591,-0.210072398982418,0.810525562619947
